Date,I00192US Index,I29381US Index
2021/9/17,363.46 ,232.48 
2021/9/16,362.10 ,235.13 
2021/9/15,363.35 ,237.70 
2021/9/14,362.02 ,238.76 
2021/9/13,361.80 ,240.94 
2021/9/10,361.65 ,240.94 
2021/9/9,363.22 ,238.97 
2021/9/8,366.67 ,240.01 
2021/9/7,369.67 ,239.14 
2021/9/3,367.33 ,240.62 
2021/9/2,364.69 ,242.87 
2021/9/1,363.24 ,244.60 
2021/8/31,367.34 ,247.03 
2021/8/30,366.24 ,246.89 
2021/8/27,362.35 ,246.38 
2021/8/26,360.12 ,247.50 
2021/8/25,358.46 ,246.71 
2021/8/24,356.35 ,245.83 
2021/8/23,352.53 ,245.67 
2021/8/20,351.08 ,245.16 
2021/8/19,352.24 ,245.41 
2021/8/18,353.98 ,245.96 
2021/8/17,354.58 ,246.83 
2021/8/16,353.94 ,247.75 
2021/8/13,354.32 ,247.25 
2021/8/12,354.19 ,247.24 
2021/8/11,352.09 ,247.49 
2021/8/10,351.58 ,245.72 
2021/8/9,350.41 ,244.20 
2021/8/6,354.90 ,243.66 
2021/8/5,355.19 ,246.40 
2021/8/4,356.36 ,245.25 
2021/8/3,355.86 ,243.36 
2021/8/2,356.59 ,240.91 
2021/7/30,356.84 ,239.66 
2021/7/29,356.33 ,242.79 
2021/7/28,355.72 ,244.39 
2021/7/27,354.54 ,246.70 
2021/7/26,357.12 ,250.70 
2021/7/23,357.50 ,252.23 
2021/7/22,358.35 ,252.33 
2021/7/21,355.76 ,254.12 
2021/7/20,352.68 ,254.99 
2021/7/19,351.79 ,256.69 
2021/7/16,360.63 ,257.94 
2021/7/15,362.77 ,257.44 
2021/7/14,365.94 ,257.31 
2021/7/13,368.35 ,256.68 
2021/7/12,369.08 ,256.46 
2021/7/9,369.15 ,254.69 
2021/7/8,370.15 ,253.72 
2021/7/7,370.18 ,253.04 
2021/7/6,371.91 ,254.44 
2021/7/2,370.95 ,257.20 
2021/7/1,370.59 ,257.31 
2021/6/30,367.19 ,257.54 
2021/6/29,364.97 ,258.31 
2021/6/28,365.59 ,258.65 
2021/6/25,365.33 ,258.60 
2021/6/24,364.18 ,259.30 
2021/6/23,364.08 ,259.77 
2021/6/22,363.98 ,260.31 
2021/6/21,364.68 ,260.29 
2021/6/18,364.10 ,259.90 
2021/6/17,365.14 ,259.60 
2021/6/16,367.02 ,259.51 
2021/6/15,366.02 ,259.60 
2021/6/14,363.04 ,259.98 
2021/6/11,362.10 ,259.98 
2021/6/10,362.51 ,259.85 
2021/6/9,361.71 ,261.89 
2021/6/8,360.54 ,262.55 
2021/6/7,360.04 ,261.84 
2021/6/4,356.78 ,261.75 
2021/6/3,354.89 ,262.35 
2021/6/2,353.12 ,263.24 
2021/6/1,351.51 ,263.02 
2021/5/31,350.65 ,264.26 
2021/5/28,350.65 ,264.26 
2021/5/27,349.75 ,264.59 
2021/5/26,348.57 ,265.23 
2021/5/25,349.18 ,264.65 
2021/5/24,347.68 ,264.15 
2021/5/21,350.73 ,263.77 
2021/5/20,354.03 ,263.56 
2021/5/19,354.01 ,263.58 
2021/5/18,354.83 ,263.55 
2021/5/17,355.59 ,263.34 
2021/5/14,355.16 ,263.24 
2021/5/13,354.67 ,263.27 
2021/5/12,355.93 ,263.50 
2021/5/11,354.71 ,263.60 
2021/5/10,354.66 ,263.65 
2021/5/7,352.75 ,263.60 
2021/5/6,347.05 ,263.44 
2021/5/5,345.91 ,263.51 
2021/5/4,343.92 ,263.62 
2021/5/3,342.22 ,262.89 
2021/4/30,341.57 ,262.61 
2021/4/29,341.52 ,262.07 
2021/4/28,338.99 ,261.88 
2021/4/27,337.17 ,261.81 
2021/4/26,337.54 ,261.54 
2021/4/23,336.96 ,261.73 
2021/4/22,336.34 ,261.50 
2021/4/21,336.52 ,261.21 
2021/4/20,336.95 ,260.98 
2021/4/19,336.87 ,260.61 
2021/4/16,336.03 ,259.52 
2021/4/15,340.09 ,258.81 
2021/4/14,339.31 ,259.55 
2021/4/13,338.98 ,259.62 
2021/4/12,339.48 ,260.73 
2021/4/9,338.96 ,260.63 
2021/4/8,338.26 ,260.68 
2021/4/7,336.57 ,261.01 
2021/4/6,335.85 ,260.63 
2021/4/5,336.07 ,260.48 
2021/4/2,334.94 ,260.43 
2021/4/1,334.96 ,260.21 
2021/3/31,334.02 ,259.21 
2021/3/30,332.61 ,259.46 
2021/3/29,332.25 ,259.65 
2021/3/26,330.88 ,259.26 
2021/3/25,327.53 ,261.16 
2021/3/24,329.00 ,261.28 
2021/3/23,328.68 ,261.98 
2021/3/22,328.41 ,262.32 
2021/3/19,329.78 ,262.00 
2021/3/18,331.19 ,261.77 
2021/3/17,331.16 ,260.97 
2021/3/16,331.45 ,260.93 
2021/3/15,330.98 ,259.84 
2021/3/12,331.40 ,259.63 
2021/3/11,330.33 ,259.59 
2021/3/10,327.82 ,258.32 
2021/3/9,328.07 ,257.70 
2021/3/8,327.78 ,258.49 
2021/3/5,327.71 ,259.40 
2021/3/4,327.49 ,260.19 
2021/3/3,327.56 ,260.29 
2021/3/2,327.14 ,261.14 
2021/3/1,327.33 ,261.08 
2021/2/26,325.99 ,261.37 
2021/2/25,326.10 ,261.52 
2021/2/24,325.92 ,261.57 
2021/2/23,323.97 ,261.55 
2021/2/22,321.76 ,261.60 
2021/2/19,320.74 ,261.51 
2021/2/18,320.97 ,261.16 
2021/2/17,318.94 ,260.19 
2021/2/16,318.13 ,259.80 
2021/2/12,319.29 ,258.86 
2021/2/11,319.32 ,258.78 
2021/2/10,319.26 ,258.51 
2021/2/9,318.36 ,258.66 
2021/2/8,317.13 ,258.44 
2021/2/5,314.81 ,260.23 
2021/2/4,315.41 ,260.45 
2021/2/3,314.31 ,260.66 
2021/2/2,313.43 ,261.31 
2021/2/1,313.82 ,261.07 
2021/1/29,313.73 ,260.74 
2021/1/28,314.37 ,260.72 
2021/1/27,311.87 ,261.14 
2021/1/26,312.37 ,261.19 
2021/1/25,310.04 ,261.64 
2021/1/22,310.25 ,261.12 
2021/1/21,310.32 ,260.92 
2021/1/20,309.50 ,260.72 
2021/1/19,307.50 ,260.50 
2021/1/15,305.21 ,260.35 
2021/1/14,302.45 ,259.13 
2021/1/13,298.08 ,258.32 
2021/1/12,297.14 ,259.23 
2021/1/11,296.71 ,259.64 
2021/1/8,296.94 ,260.41 
2021/1/7,296.38 ,261.36 
2021/1/6,295.84 ,262.17 
2021/1/5,295.10 ,262.55 
2021/1/4,294.61 ,262.49 
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
